rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0016202909755520523,a26d121fc7cc4c9b9a3591a36a36ae5c
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.0036603330227080733,9fb7fce2080543b4aa2c5d5c595e7af6
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.0016061670030467212,fe8f177e215b464389d2bbec28e21032
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0011104170116595924,163269a3df3a47c0a7d3d19e04f4df74
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.030391792010050267,0.016816207993542776,ab680ef9554d4009bfe032eb1bf04a19
