rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0011139589769300073,916ceefb1fd54d3cb0f154107c1c7b7f
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.002386040985584259,eb3314fabda14614a76b2de5144e2585
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.001094209001166746,ee97e3b6f4674f989027091ed77ca2cd
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0017360409838147461,8a6ad07be6f9413393b1899c8c7e5917
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.015291749994503334,0.009841457998845726,36e1d5835e534ad3bd3901f908c409dc
