rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0009701250237412751,dc635a1282d843d0bec81dcd7ec67417
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.0027094580000266433,eab43ed1fa774ba4bdcc02ce8fe2251f
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.0009506250207778066,5a81686f7aec452db2d6749502112e85
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0007820829923730344,4e1df8b279174ac19ba2df0491ab0e81
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.011553209013072774,0.008353124983841553,a2dad4da26f4488d8c3c7f5cb35fe90e
