rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.001154208992375061,7b3342ca248c40538823bc849949730b
2,seasonal_naive_average_24h_168h,3.0,3.0,0.00277713492247165,,-3.0,0.5,,0.0,0.0023068750160746276,952bf5c21ea8439b9af55c2979315a78
3,seasonal_naive_24h,6.0,6.0,0.0055542698449433,,-6.0,0.0,,0.0,0.0010463329963386059,6c5f9fad08a5410a8b8299b51fe23a03
4,last_value,8.25,8.25,0.007637121036797038,,-8.25,-0.37500000000000006,,0.0,0.0017452079919166863,3c2738fdbadc46b39ce99f0b16fbee67
5,lightgbm_global,14.25,14.25,0.013191390881740338,,-14.25,-1.375,,0.014490667002974078,0.009697165980469435,22dba85a7aff4a18a88a897517cc0b08
