rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0018545409839134663,29e67ab191534813a592ae3fa70fecc3
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.0033825420250650495,82d63d3b4d8d4b17ad11a00c2a73e108
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.0022893749992363155,fea6e7b196ea47e88be4e4487f90e938
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0013727500045206398,c1cad941670344cbb677092222e707b3
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.03000041702762246,0.016315958026098087,8cf55a94a9f2403ca19adb314995164b
