rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0015048749919515103,c0c860379c6840a798e77baba8bbb156
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.003098707995377481,ba047f9fe69e4a32a4506e49fd586b93
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.0015170830010902137,f98b35d54a574c23b470ce67d962abd7
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0011510409822221845,877c32d008214005a85c62005071e0e4
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.028615749994060025,0.014647833013441414,5517484b56134266b59e2c6cae86f2eb
