rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0017345000233035535,f4866f6387404cfe88aed60c64342852
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.0034433749970048666,3e8bf90044a142d8a438149bcb254928
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.0016492500144522637,1d538e1457bd4b03abcb196266315951
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0011004169937223196,59381abd8c254be88c0f3f5d92f1d6d7
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.027787250000983477,0.016854082990903407,f0a0fbc38f4e41aaac20d0df5d9cac4f
