rank,model_name,mae,rmse,wape,mase,forecast_bias,improvement_vs_seasonal_24,improvement_vs_seasonal_168,training_seconds,prediction_seconds,run_id
1,seasonal_naive_168h,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0016528750129509717,2d6bd0fda6334afa9f9821c463d7cd33
2,seasonal_naive_average_24h_168h,3.0,3.0,0.0025800903031606105,,-3.0,0.5,,0.0,0.0031399170111399144,1376bb9d810b4eb591271d634e387c63
3,seasonal_naive_24h,6.0,6.0,0.005160180606321221,,-6.0,0.0,,0.0,0.001551291992655024,723ef11e98f440df8052e31419cea1e1
4,last_value,8.25,8.25,0.0070952483336916795,,-8.25,-0.3750000000000001,,0.0,0.0011769999982789159,809339ee79924259b78031aca92c6f25
5,lightgbm_global,23.727716189430794,23.727716189430794,0.020406550152165807,,-23.727716189430794,-2.954619364905132,,0.024756790982792154,0.014366042014444247,163b4dcc4ae74163a7cdd4a26fa7f2b4
